AC_NUM, ACID, TRACK_CNT, ST_TIME, END_TIME, ORIG_ST_TIME, ORIG_END_TIME, MAX_X, MIN_X, MAX_Y, MIN_Y, MAX_Z, MIN_Z, AC_EQUIP, AC_TYPE, DEST_FIX, FLIGHT_TYPE, ORIGIN_FIX, GAP_VALUE, MAX_X_SMO, MIN_X_SMO, MAX_Y_SMO, MIN_Y_SMO, MAX_Z_SMO, MIN_Z_SMO, TOD_TIME, TOC_TIME, TOC_ALT, END_CENTER, START_CENTER, END_CENTER_TIME, START_CENTER_TIME, LOW_Z, HIGH_Z, LOW_TIME, HIGH_TIME, BETWEEN_TIME, AVG_CLIMB, LOW_GROUND_SPEED_SMO, HIGH_GROUND_SPEED_SMO
4996,SKF6697_003,406,40220,44270,40214,44274,433.658,182.691,625.469,347.242,27000,3750, L,E135, JFK, DEP, RDU,0,433.404,183.294,624.957,347.326,27000,4063,43400,41090,27000, n/a, ZDC,43070,40280,3750,17775,40220,40680,460,0.38913043478260867,198,377
4997,SKF6704_035,366,49010,52660,49003,52662,409.386,34.534,646.783,497.267,34838,5869, L,CRJ7, BNA, OVR, LGA,0,409.134,35.711,646.511,497.607,33992,6205,-1,50340,28000, n/a, ZNY,51820,50540,5869,16900,49010,49390,380,0.3394736842105263,216,345
4999,SKF6711_789,213,78500,80620,78492,80621,413.231,284.212,627.115,535.651,18000,400, L,E145, BWI, ARR, JFK,0,412.871,284.491,626.821,535.907,18000,400,79790,79070,18000, n/a, ZDC,0,78500,4192,11000,78500,78680,180,0.5,204,294
5002,SKF6763_76W,410,54800,58890,54791,58899,404.847,36.425,640.562,355.975,34000,7884, L,CRJ7, ATL, OVR, LGA,0,404.403,37.044,640.467,356.483,34000,8285,-1,55490,26000, n/a, ZNY,58020,56200,7884,11500,54800,54880,80,0.1,225,233
5003,SKF6784_351,207,71740,73800,71733,73800,426.354,280.5,625.5,531.1,17000,1800, L,E145, JFK, DEP, BWI,0,426.104,280.635,625.333,531.178,17000,1811,72920,72310,17000, n/a, ZDC,72600,71740,3569,16900,71740,72290,550,0.3618181818181818,225,424
5006,SKF6812_424,276,82220,84970,82215,84979,303.162,137.175,399.447,194.05,36000,3238, L,E145, MIA, DEP, ORF,0,303.075,137.695,398.972,194.514,36000,3420,-1,83660,36000, n/a, ZDC,83840,82480,3238,17984,82220,82690,470,0.30425531914893617,182,325
5007,SKF6826_67V,299,64870,67850,64862,67850,408.634,199,644.2,478.6,26000,700, L,E135, CHO, ARR, LGA,0,408.231,199.167,644.019,479.017,26000,700,-1,65870,26000, n/a, ZNY,66350,66010,7733,15000,64870,65080,210,0.3380952380952381,213,284
5008,SKF6826_87Y,313,70180,73300,70178,73302,421.1,197.3,644.067,468.447,27000,2133, L,E135, LGA, DEP, CHO,0,420.752,197.463,643.846,468.664,27000,2307,71600,71000,27000, n/a, ZDC,72170,70190,5616,27000,70180,70980,800,0.31875,208,463
5009,SKF6832_641,291,67090,69990,67090,69991,424.6,300.541,626.175,401.2,23000,1516, L,E145, JFK, DEP, ORF,0,424.33,300.753,625.907,401.617,23000,1658,-1,67910,23000, n/a, ZDC,68790,67360,5100,23000,67090,67900,810,0.1814814814814815,189,336
5010,SKF6847_981,375,5590,9330,5587,9331,413.251,33.417,645.492,489.642,36000,3350, L,CRJ7, BNA, OVR, LGA,0,413.131,34.504,645.216,490.079,36000,3726,-1,6990,36000, n/a, ZNY,8330,7010,3350,15000,5590,5890,300,0.48,184,328
5011,SKF6849_124,193,84470,86390,84469,86399,344.646,263,552.139,401.208,25000,1050, L,E135, LGA, DEP, ORF,0,344.183,263.247,551.409,401.504,25000,1470,86360,85570,25000, n/a, ZDC,86390,84550,1050,19000,84470,84960,490,0.37551020408163266,134,318
5012,SKF6849_83C,307,78140,81200,78131,81207,437.492,305.415,642.834,403.015,24000,100, L,E135, ORF, ARR, LGA,0,437.101,305.629,642.416,403.281,24000,103,-1,79080,24000, n/a, ZNY,80220,78670,3084,12000,78140,78470,330,0.5242424242424243,189,362
5013,SKF6859_312,411,73260,77360,73253,77360,436.946,178.8,626.626,345,28000,700, L,E135, RDU, ARR, JFK,0,436.778,179.142,626.115,345.333,28000,700,-1,74200,28000, n/a, ZNY,76570,73640,4033,28000,73260,74190,930,0.17096774193548386,204,363
5014,SKF6859_33W,359,770,4350,769,4355,426.983,186.369,625.324,346.4,25000,2000, L,E135, JFK, DEP, RDU,0,426.832,187.076,625.141,346.4,25000,2000,3380,1550,25000, n/a, ZDC,3160,770,6046,25000,770,1530,760,0.22894736842105262,249,423
5015,SKF6859_563,379,80650,84430,80646,84431,432.669,176.4,633.142,336.861,29000,3008, L,E135, JFK, DEP, RDU,0,432.544,176.676,632.58,337.091,29000,3125,83480,81570,29000, n/a, ZDC,83230,80690,5753,16000,80650,81010,360,0.48055555555555557,215,388
